"query_statement_id","candidate_statement_id","q_paper_id","q_paper","q_decl_name","q_module","c_paper_id","c_paper","c_decl_name","c_module","similarity"
"14b463fb-1fb5-49d8-ab87-5070a0f64b0d","f1426ff9-14cb-4393-b06c-4d4bcdae6ae6","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","cconv_const","APAP.Prereqs.Convolution.Compact","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","const_conv","AddCombi.Convolution.Finite.Defs","0.9721717834472656"
"dcccdd97-1146-40ca-9b2d-b6a95460dd08","14b463fb-1fb5-49d8-ab87-5070a0f64b0d","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","conv_const","AddCombi.Convolution.Finite.Defs","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","cconv_const","APAP.Prereqs.Convolution.Compact","0.9717854261398315"
"3d5fac34-9c16-46bc-b6d4-4adb36e34f56","9f05c432-9374-4d8c-a818-673e07b555bb","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","Complex.ofReal_comp_conv","AddCombi.Convolution.Finite.Defs","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","Complex.coe_cconv","APAP.Prereqs.Convolution.Compact","0.9715225100517273"
"9f05c432-9374-4d8c-a818-673e07b555bb","3d5fac34-9c16-46bc-b6d4-4adb36e34f56","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","Complex.coe_cconv","APAP.Prereqs.Convolution.Compact","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","Complex.ofReal_comp_conv","AddCombi.Convolution.Finite.Defs","0.9715225100517273"
"03c7ad5f-897c-4e99-a5b9-1d7dc8afa2ae","5d1bde51-a083-4752-8307-eaaf752970f4","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.SchwartzProperties.I₄'_decay'","SpherePacking.MagicFunction.a.Schwartz","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","SpherePacking.Dim24.Schwartz.I4Smooth.decay_I₄'","SpherePacking.Dim24.MagicFunction.A.DefsAux.Schwartz.I4Smooth","0.9715108275413513"
"5d1bde51-a083-4752-8307-eaaf752970f4","03c7ad5f-897c-4e99-a5b9-1d7dc8afa2ae","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","SpherePacking.Dim24.Schwartz.I4Smooth.decay_I₄'","SpherePacking.Dim24.MagicFunction.A.DefsAux.Schwartz.I4Smooth","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.SchwartzProperties.I₄'_decay'","SpherePacking.MagicFunction.a.Schwartz","0.9715108275413513"
"585b6773-149f-4713-b14d-8fb8e3de1655","b1d9145b-3c1c-4d29-a45a-9626ccb8433b","5264c696-d57b-444f-b003-d37c410acd01","PrimeNumberTheoremAnd","intervalIntegral_conj","PrimeNumberTheoremAnd.ZetaConj","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","SpherePacking.Dim24.conj_intervalIntegral","SpherePacking.Dim24.MagicFunction.PureImagCommon","0.9698561429977417"
"b1d9145b-3c1c-4d29-a45a-9626ccb8433b","585b6773-149f-4713-b14d-8fb8e3de1655","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","SpherePacking.Dim24.conj_intervalIntegral","SpherePacking.Dim24.MagicFunction.PureImagCommon","5264c696-d57b-444f-b003-d37c410acd01","PrimeNumberTheoremAnd","intervalIntegral_conj","PrimeNumberTheoremAnd.ZetaConj","0.9698561429977417"
"eb0294e0-efcf-48d2-bece-223a87919b12","660acf92-740d-480d-aed2-e77f63b19e80","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","cconv_translate","APAP.Prereqs.Convolution.Compact","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","translate_conv","AddCombi.Convolution.Finite.Defs","0.9696432948112488"
"660acf92-740d-480d-aed2-e77f63b19e80","eb0294e0-efcf-48d2-bece-223a87919b12","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","translate_conv","AddCombi.Convolution.Finite.Defs","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","cconv_translate","APAP.Prereqs.Convolution.Compact","0.9696432948112488"
"15ca1485-1046-436e-ae3b-ea8b03cc3d87","971bbd69-beef-436e-9288-ba2521025e73","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","balance_conv","AddCombi.Convolution.Finite.Defs","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","balance_cconv","APAP.Prereqs.Convolution.Compact","0.9696410298347473"
"971bbd69-beef-436e-9288-ba2521025e73","15ca1485-1046-436e-ae3b-ea8b03cc3d87","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","balance_cconv","APAP.Prereqs.Convolution.Compact","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","balance_conv","AddCombi.Convolution.Finite.Defs","0.9696410298347473"
"d3f5ac42-d4ce-496c-ac87-4f6b40a5fb67","20730fb7-19a6-482f-9036-b7749f4d34cb","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","SpherePacking.MainTheorem","SpherePacking.MainTheorem","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","SpherePacking.Dim8.MainTheorem","SpherePacking.Dim8.MainTheorem","0.969555675983429"
"20730fb7-19a6-482f-9036-b7749f4d34cb","d3f5ac42-d4ce-496c-ac87-4f6b40a5fb67","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","SpherePacking.Dim8.MainTheorem","SpherePacking.Dim8.MainTheorem","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","SpherePacking.MainTheorem","SpherePacking.MainTheorem","0.969555675983429"
"1fafd9d1-7ebe-46ee-b236-a3548346ed3d","49101f0b-4c09-444e-acea-3351a9219f72","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","cconv_sub","APAP.Prereqs.Convolution.Compact","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","conv_sub","AddCombi.Convolution.Finite.Defs","0.9689011573791504"
"49101f0b-4c09-444e-acea-3351a9219f72","1fafd9d1-7ebe-46ee-b236-a3548346ed3d","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","conv_sub","AddCombi.Convolution.Finite.Defs","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","cconv_sub","APAP.Prereqs.Convolution.Compact","0.9689011573791504"
"1ee43a10-5924-433c-a191-404a07c7c5a3","b63f620e-45b7-464b-88b0-4db7e4267ff0","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.IntegralEstimates.I₁.Bound_integrableOn","SpherePacking.MagicFunction.a.IntegralEstimates.I1","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","MagicFunction.a.IntegralEstimates.I₃.Bound_integrableOn","SpherePacking.MagicFunction.a.IntegralEstimates.I3","0.968114972114563"
"4c956d02-5bdf-4309-92eb-d9ac4c87b4d6","0ff65b11-bb9f-4ffc-9abf-f070f4d88071","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","SpherePacking.Dim24.Schwartz.I5Smooth.decay_I₅'","SpherePacking.Dim24.MagicFunction.A.DefsAux.Schwartz.I5Smooth","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.SchwartzProperties.I₅'_decay'","SpherePacking.MagicFunction.a.Schwartz","0.966474711894989"
"0ff65b11-bb9f-4ffc-9abf-f070f4d88071","4c956d02-5bdf-4309-92eb-d9ac4c87b4d6","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.SchwartzProperties.I₅'_decay'","SpherePacking.MagicFunction.a.Schwartz","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","SpherePacking.Dim24.Schwartz.I5Smooth.decay_I₅'","SpherePacking.Dim24.MagicFunction.A.DefsAux.Schwartz.I5Smooth","0.966474711894989"
"ba0cd15b-d63a-4a6f-a933-046b1a807899","ba10a213-d4b5-43d0-8b32-212099b240e4","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","extracted_5","SpherePacking.ModularForms.Cauchylems","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","extracted_4","SpherePacking.ModularForms.Cauchylems","0.9663562178611755"
"ba10a213-d4b5-43d0-8b32-212099b240e4","ba0cd15b-d63a-4a6f-a933-046b1a807899","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","extracted_4","SpherePacking.ModularForms.Cauchylems","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","extracted_5","SpherePacking.ModularForms.Cauchylems","0.9663562178611755"
"e226dea1-4815-4aeb-b34e-57071f9af086","ba0cd15b-d63a-4a6f-a933-046b1a807899","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","extracted_2","SpherePacking.ModularForms.Cauchylems","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","extracted_5","SpherePacking.ModularForms.Cauchylems","0.9660450220108032"
"55117657-efbf-4012-819c-366db2e90fe7","7044f6dd-4d71-43eb-8f58-d2fd9660f6ec","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","H₄_MDifferentiable","SpherePacking.ModularForms.JacobiTheta.MDifferentiable","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","mdifferentiable_H₄","SpherePacking.ModularForms.JacobiTheta","0.9652866721153259"
"7044f6dd-4d71-43eb-8f58-d2fd9660f6ec","55117657-efbf-4012-819c-366db2e90fe7","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","mdifferentiable_H₄","SpherePacking.ModularForms.JacobiTheta","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","H₄_MDifferentiable","SpherePacking.ModularForms.JacobiTheta.MDifferentiable","0.9652866721153259"
"cb70ee3e-6a77-459a-99ae-beb81dd7cf72","da0919f9-1ea5-487b-9aea-061d592bf037","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","IsSelfAdjoint.dconv","AddCombi.Convolution.Finite.Defs","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","IsSelfAdjoint.cdconv","APAP.Prereqs.Convolution.Compact","0.9649247527122498"
"da0919f9-1ea5-487b-9aea-061d592bf037","cb70ee3e-6a77-459a-99ae-beb81dd7cf72","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","IsSelfAdjoint.cdconv","APAP.Prereqs.Convolution.Compact","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","IsSelfAdjoint.dconv","AddCombi.Convolution.Finite.Defs","0.9649247527122498"
"39c8f70c-fef0-4528-a171-282878492832","3d5fac34-9c16-46bc-b6d4-4adb36e34f56","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","Complex.ofReal_conv","APAP.Prereqs.Convolution.Discrete.Defs","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","Complex.ofReal_comp_conv","AddCombi.Convolution.Finite.Defs","0.9643005728721619"
"8b67efd7-f1a7-4eae-832e-55deadd9b321","5284c5b1-d25d-4bcd-bc3c-1c4f116c83f0","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.b.SchwartzProperties.J₂'_decay'","SpherePacking.MagicFunction.b.Schwartz","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","SpherePacking.Dim24.Schwartz.J2Smooth.decay_J₂'","SpherePacking.Dim24.MagicFunction.B.Defs.J2Smooth","0.9641695022583008"
